n 25625, BTC size 25625
0, 0
0.00139, 0
0.00278, 0
0.00417, 0
0.00556, 0
0.00694, 0
0.00833, 0
0.00972, 0
0.01111, 0
0.0125, 0
0.01389, 0
0.01528, 0
0.01667, 0
0.01806, 0
0.01944, 0
0.02083, 0
0.02222, 0
0.02361, 0
0.025, 0
0.02639, 0
0.02778, 0
0.02917, 0
0.03056, 0
0.03194, 0
0.03333, 0
0.03472, 0
0.03611, 0
0.0375, 0
0.03889, 0
0.04028, 0
0.04167, 0
0.04306, 0
0.04444, 0
0.04583, 0
0.04722, 0
0.04861, 0
0.05, 0
0.05139, 0
0.05278, 0
0.05417, 5.64732
0.05556, 0
0.05694, 0
0.05833, 0
0.05972, 0
0.06111, 0
0.0625, 0
0.06389, 0
0.06528, 0
0.06667, 0
0.06806, 0
0.06944, 0
0.07083, 0
0.07222, 0
0.07361, 0
0.075, 0
0.07639, 0
0.07778, 0
0.07917, 0
0.08056, 0
0.08194, 0
0.08333, 0
0.08472, 0
0.08611, 0
0.0875, 0
0.08889, 0
0.09028, 0
0.09167, 0
0.09306, 0
0.09444, 0
0.09583, 0
0.09722, 0
0.09861, 0
0.1, 0
0.10139, 0
0.10278, 0
0.10417, 0
0.10556, 0
0.10694, 0
0.10833, 0
0.10972, 0
0.11111, 0
0.1125, 0
0.11389, 0
0.11528, 0
0.11667, 0
0.11806, 0
0.11944, 0
0.12083, 0
0.12222, 0
0.12361, 0
0.125, 0
0.12639, 0
0.12778, 0
0.12917, 0
0.13056, 0
0.13194, 0
0.13333, 0
0.13472, 0
0.13611, 0
0.1375, 0
0.13889, 0
0.14028, 0
0.14167, 0
0.14306, 0
0.14444, 0
0.14583, 0
0.14722, 0
0.14861, 0
0.15, 0
0.15139, 0
0.15278, 0
0.15417, 0
0.15556, 0
0.15694, 0
0.15833, 0
0.15972, 0
0.16111, 0
0.1625, 0
0.16389, 0
0.16528, 0
0.16667, 0
0.16806, 0
0.16944, 0
0.17083, 0
0.17222, 0
0.17361, 0
0.175, 0
0.17639, 0
0.17778, 0
0.17917, 0
0.18056, 0
0.18194, 0
0.18333, 0
0.18472, 0
0.18611, 0
0.1875, 0
0.18889, 0
0.19028, 0
0.19167, 0
0.19306, 0
0.19444, 0
0.19583, 0
0.19722, 0
0.19861, 0
0.2, 0
0.20139, 0
0.20278, 0
0.20417, 0
0.20556, 0
0.20694, 0
0.20833, 0
0.20972, 0
0.21111, 0
0.2125, 0
0.21389, 0
0.21528, 0
0.21667, 0
0.21806, 0
0.21944, 0
0.22083, 0
0.22222, 0
0.22361, 0
0.225, 0
0.22639, 0
0.22778, 0
0.22917, 0
0.23056, 0
0.23194, 0
0.23333, 0
0.23472, 0
0.23611, 0
0.2375, 0
0.23889, 0
0.24028, 0
0.24167, 0
0.24306, 0
0.24444, 0
0.24583, 0
0.24722, 0
0.24861, 0
0.25, 0
0.25139, 0
