// time (day), value
0.00000, 1739.6215
0.00500, 1742.4974
0.01000, 1746.0448
0.01500, 1750.4104
0.02000, 1755.7703
0.02500, 1762.3358
0.03000, 1770.3594
0.03500, 1780.1418
0.04000, 1792.0410
0.04500, 1806.4810
0.05000, 1823.9635
0.05500, 1845.0799
0.06000, 1870.5258
0.06500, 1901.1170
0.07000, 1937.8074
0.07500, 1981.7095
0.08000, 2034.1170
0.08500, 2096.5304
0.09000, 2170.6841
0.09500, 2258.5783
0.10000, 2362.5121
0.10500, 2485.1210
0.11000, 2629.4166
0.11500, 2798.8305
0.12000, 2997.2605
0.12500, 3229.1211
0.13000, 3499.3958
0.13500, 3813.6929
0.14000, 4178.3044
0.14500, 4600.2656
0.15000, 5087.4182
0.15500, 5648.4728
0.16000, 6293.0729
0.16500, 7031.8580
0.17000, 7876.5252
0.17500, 8839.8884
0.18000, 9935.9331
0.18500, 11179.8667
0.19000, 12588.1610
0.19500, 14178.5875
0.20000, 15970.2408
0.20500, 17983.5514
0.21000, 20240.2833
0.21500, 22763.5161
0.22000, 25577.6087
0.22500, 28708.1428
0.23000, 32181.8448
0.23500, 36026.4836
0.24000, 40270.7421
0.24500, 44944.0629
0.25000, 50076.4651
0.25500, 55698.3313
0.26000, 61840.1662
0.26500, 68532.3240
0.27000, 75804.7073
0.27500, 83686.4370
0.28000, 92205.4947
0.28500, 101388.3404
0.29000, 111259.5081
0.29500, 121841.1813
0.30000, 133152.7541
0.30500, 145210.3819
0.31000, 158026.5263
0.31500, 171609.5012
0.32000, 185963.0252
0.32500, 201085.7884
0.33000, 216971.0401
0.33500, 233606.2045
0.34000, 250972.5331
0.34500, 269044.8009
0.35000, 287791.0535
0.35500, 307172.4133
0.36000, 327142.9516
0.36500, 347649.6323
0.37000, 368632.3334
0.37500, 390023.9508
0.38000, 411750.5889
0.38500, 433731.8393
0.39000, 455881.1497
0.39500, 478106.2841
0.40000, 500309.8700
0.40500, 522390.0329
0.41000, 544241.1112
0.41500, 565754.4469
0.42000, 586819.2446
0.42500, 607323.4889
0.43000, 627154.9118
0.43500, 646201.9969
0.44000, 664355.0103
0.44500, 681507.0431
0.45000, 697555.0528
0.45500, 712400.8897
0.46000, 725952.2935
0.46500, 738123.8462
0.47000, 748837.8679
0.47500, 758025.2414
0.48000, 765626.1550
0.48500, 771590.7507
0.49000, 775879.6686
0.49500, 778464.4798
0.50000, 779328.0000
0.50500, 778464.4798
0.51000, 775879.6686
0.51500, 771590.7507
0.52000, 765626.1550
0.52500, 758025.2414
0.53000, 748837.8679
0.53500, 738123.8462
0.54000, 725952.2935
0.54500, 712400.8897
0.55000, 697555.0528
0.55500, 681507.0431
0.56000, 664355.0103
0.56500, 646201.9969
0.57000, 627154.9118
0.57500, 607323.4889
0.58000, 586819.2446
0.58500, 565754.4469
0.59000, 544241.1112
0.59500, 522390.0329
0.60000, 500309.8700
0.60500, 478106.2841
0.61000, 455881.1497
0.61500, 433731.8393
0.62000, 411750.5889
0.62500, 390023.9508
0.63000, 368632.3334
0.63500, 347649.6323
0.64000, 327142.9516
0.64500, 307172.4133
0.65000, 287791.0535
0.65500, 269044.8009
0.66000, 250972.5331
0.66500, 233606.2045
0.67000, 216971.0401
0.67500, 201085.7884
0.68000, 185963.0252
0.68500, 171609.5012
0.69000, 158026.5263
0.69500, 145210.3819
0.70000, 133152.7541
0.70500, 121841.1813
0.71000, 111259.5081
0.71500, 101388.3404
0.72000, 92205.4947
0.72500, 83686.4370
0.73000, 75804.7073
0.73500, 68532.3240
0.74000, 61840.1662
0.74500, 55698.3313
0.75000, 50076.4651
0.75500, 44944.0629
0.76000, 40270.7421
0.76500, 36026.4836
0.77000, 32181.8448
0.77500, 28708.1428
0.78000, 25577.6087
0.78500, 22763.5161
0.79000, 20240.2833
0.79500, 17983.5514
0.80000, 15970.2408
0.80500, 14178.5875
0.81000, 12588.1610
0.81500, 11179.8667
0.82000, 9935.9331
0.82500, 8839.8884
0.83000, 7876.5252
0.83500, 7031.8580
0.84000, 6293.0729
0.84500, 5648.4728
0.85000, 5087.4182
0.85500, 4600.2656
0.86000, 4178.3044
0.86500, 3813.6929
0.87000, 3499.3958
0.87500, 3229.1211
0.88000, 2997.2605
0.88500, 2798.8305
0.89000, 2629.4166
0.89500, 2485.1210
0.90000, 2362.5121
0.90500, 2258.5783
0.91000, 2170.6841
0.91500, 2096.5304
0.92000, 2034.1170
0.92500, 1981.7095
0.93000, 1937.8074
0.93500, 1901.1170
0.94000, 1870.5258
0.94500, 1845.0799
0.95000, 1823.9635
0.95500, 1806.4810
0.96000, 1792.0410
0.96500, 1780.1418
0.97000, 1770.3594
0.97500, 1762.3358
0.98000, 1755.7703
0.98500, 1750.4104
0.99000, 1746.0448
0.99500, 1742.4974
1.00000, 1739.6215
1.00500, 1737.2954
1.01000, 1735.4184
1.01500, 1733.9073
1.02000, 1732.6936
1.02500, 1731.7209
1.03000, 1730.9433
1.03500, 1730.3230
1.04000, 1729.8294
1.04500, 1729.4374
1.05000, 1729.1270
1.05500, 1728.8816
1.06000, 1728.6881
1.06500, 1728.5359
1.07000, 1728.4164
1.07500, 1728.3229
1.08000, 1728.2498
1.08500, 1728.1928
1.09000, 1728.1485
1.09500, 1728.1141
1.10000, 1728.0875
1.10500, 1728.0669
1.11000, 1728.0511
1.11500, 1728.0389
1.12000, 1728.0296
1.12500, 1728.0224
1.13000, 1728.0170
1.13500, 1728.0128
1.14000, 1728.0097
1.14500, 1728.0073
1.15000, 1728.0054
1.15500, 1728.0041
1.16000, 1728.0030
1.16500, 1728.0023
1.17000, 1728.0017
1.17500, 1728.0012
1.18000, 1728.0009
1.18500, 1728.0007
1.19000, 1728.0005
1.19500, 1728.0004
1.20000, 1728.0003
1.20500, 1728.0002
1.21000, 1728.0001
1.21500, 1728.0001
1.22000, 1728.0001
1.22500, 1728.0001
1.23000, 1728.0000
1.23500, 1728.0000
1.24000, 1728.0000
1.24500, 1728.0000
