// time (day), value
0.00000, 1732.1321
0.00500, 1733.1546
0.01000, 1734.4159
0.01500, 1735.9681
0.02000, 1737.8739
0.02500, 1740.2083
0.03000, 1743.0611
0.03500, 1746.5393
0.04000, 1750.7701
0.04500, 1755.9044
0.05000, 1762.1203
0.05500, 1769.6284
0.06000, 1778.6758
0.06500, 1789.5527
0.07000, 1802.5982
0.07500, 1818.2078
0.08000, 1836.8416
0.08500, 1859.0330
0.09000, 1885.3988
0.09500, 1916.6501
0.10000, 1953.6043
0.10500, 1997.1986
0.11000, 2048.5037
0.11500, 2108.7397
0.12000, 2179.2926
0.12500, 2261.7320
0.13000, 2357.8296
0.13500, 2469.5797
0.14000, 2599.2193
0.14500, 2749.2500
0.15000, 2922.4598
0.15500, 3121.9459
0.16000, 3351.1370
0.16500, 3613.8162
0.17000, 3914.1423
0.17500, 4256.6714
0.18000, 4646.3762
0.18500, 5088.6637
0.19000, 5589.3906
0.19500, 6154.8755
0.20000, 6791.9078
0.20500, 7507.7516
0.21000, 8310.1452
0.21500, 9207.2946
0.22000, 10207.8609
0.22500, 11320.9396
0.23000, 12556.0337
0.23500, 13923.0164
0.24000, 15432.0861
0.24500, 17093.7113
0.25000, 18918.5654
0.25500, 20917.4511
0.26000, 23101.2146
0.26500, 25480.6485
0.27000, 28066.3848
0.27500, 30868.7776
0.28000, 33897.7759
0.28500, 37162.7877
0.29000, 40672.5362
0.29500, 44434.9089
0.30000, 48456.8014
0.30500, 52743.9580
0.31000, 57300.8094
0.31500, 62130.3115
0.32000, 67233.7867
0.32500, 72610.7692
0.33000, 78258.8587
0.33500, 84173.5838
0.34000, 90348.2785
0.34500, 96773.9737
0.35000, 103439.3079
0.35500, 110330.4580
0.36000, 117431.0939
0.36500, 124722.3581
0.37000, 132182.8741
0.37500, 139788.7825
0.38000, 147513.8094
0.38500, 155329.3651
0.39000, 163204.6755
0.39500, 171106.9455
0.40000, 179001.5538
0.40500, 186852.2784
0.41000, 194621.5506
0.41500, 202270.7367
0.42000, 209760.4425
0.42500, 217050.8405
0.43000, 224102.0131
0.43500, 230874.3100
0.44000, 237328.7148
0.44500, 243427.2153
0.45000, 249133.1743
0.45500, 254411.6941
0.46000, 259229.9710
0.46500, 263557.6342
0.47000, 267367.0641
0.47500, 270633.6858
0.48000, 273336.2329
0.48500, 275456.9780
0.49000, 276981.9266
0.49500, 277900.9706
0.50000, 278208.0000
0.50500, 277900.9706
0.51000, 276981.9266
0.51500, 275456.9780
0.52000, 273336.2329
0.52500, 270633.6858
0.53000, 267367.0641
0.53500, 263557.6342
0.54000, 259229.9710
0.54500, 254411.6941
0.55000, 249133.1743
0.55500, 243427.2153
0.56000, 237328.7148
0.56500, 230874.3100
0.57000, 224102.0131
0.57500, 217050.8405
0.58000, 209760.4425
0.58500, 202270.7367
0.59000, 194621.5506
0.59500, 186852.2784
0.60000, 179001.5538
0.60500, 171106.9455
0.61000, 163204.6755
