// time (day), value
0.00000, 1729.0330
0.00500, 1729.2887
0.01000, 1729.6040
0.01500, 1729.9920
0.02000, 1730.4685
0.02500, 1731.0521
0.03000, 1731.7653
0.03500, 1732.6348
0.04000, 1733.6925
0.04500, 1734.9761
0.05000, 1736.5301
0.05500, 1738.4071
0.06000, 1740.6690
0.06500, 1743.3882
0.07000, 1746.6495
0.07500, 1750.5520
0.08000, 1755.2104
0.08500, 1760.7583
0.09000, 1767.3497
0.09500, 1775.1625
0.10000, 1784.4011
0.10500, 1795.2996
0.11000, 1808.1259
0.11500, 1823.1849
0.12000, 1840.8232
0.12500, 1861.4330
0.13000, 1885.4574
0.13500, 1913.3949
0.14000, 1945.8048
0.14500, 1983.3125
0.15000, 2026.6150
0.15500, 2076.4865
0.16000, 2133.7843
0.16500, 2199.4540
0.17000, 2274.5356
0.17500, 2360.1679
0.18000, 2457.5941
0.18500, 2568.1659
0.19000, 2693.3476
0.19500, 2834.7189
0.20000, 2993.9770
0.20500, 3172.9379
0.21000, 3373.5363
0.21500, 3597.8237
0.22000, 3847.9652
0.22500, 4126.2349
0.23000, 4435.0084
0.23500, 4776.7541
0.24000, 5154.0215
0.24500, 5569.4278
0.25000, 6025.6413
0.25500, 6525.3628
0.26000, 7071.3037
0.26500, 7666.1621
0.27000, 8312.5962
0.27500, 9013.1944
0.28000, 9770.4440
0.28500, 10586.6969
0.29000, 11464.1341
0.29500, 12404.7272
0.30000, 13410.2004
0.30500, 14481.9895
0.31000, 15621.2023
0.31500, 16828.5779
0.32000, 18104.4467
0.32500, 19448.6923
0.33000, 20860.7147
0.33500, 22339.3960
0.34000, 23883.0696
0.34500, 25489.4934
0.35000, 27155.8270
0.35500, 28878.6145
0.36000, 30653.7735
0.36500, 32476.5895
0.37000, 34341.7185
0.37500, 36243.1956
0.38000, 38174.4523
0.38500, 40128.3413
0.39000, 42097.1689
0.39500, 44072.7364
0.40000, 46046.3884
0.40500, 48009.0696
0.41000, 49951.3877
0.41500, 51863.6842
0.42000, 53736.1106
0.42500, 55558.7101
0.43000, 57321.5033
0.43500, 59014.5775
0.44000, 60628.1787
0.44500, 62152.8038
0.45000, 63579.2936
0.45500, 64898.9235
0.46000, 66103.4928
0.46500, 67185.4086
0.47000, 68137.7660
0.47500, 68954.4215
0.48000, 69630.0582
0.48500, 70160.2445
0.49000, 70541.4817
0.49500, 70771.2427
0.50000, 70848.0000
0.50500, 70771.2427
0.51000, 70541.4817
0.51500, 70160.2445
0.52000, 69630.0582
0.52500, 68954.4215
0.53000, 68137.7660
0.53500, 67185.4086
0.54000, 66103.4928
0.54500, 64898.9235
0.55000, 63579.2936
0.55500, 62152.8038
0.56000, 60628.1787
0.56500, 59014.5775
0.57000, 57321.5033
0.57500, 55558.7101
0.58000, 53736.1106
0.58500, 51863.6842
0.59000, 49951.3877
0.59500, 48009.0696
0.60000, 46046.3884
0.60500, 44072.7364
0.61000, 42097.1689
0.61500, 40128.3413
0.62000, 38174.4523
0.62500, 36243.1956
0.63000, 34341.7185
0.63500, 32476.5895
0.64000, 30653.7735
0.64500, 28878.6145
0.65000, 27155.8270
0.65500, 25489.4934
0.66000, 23883.0696
0.66500, 22339.3960
0.67000, 20860.7147
0.67500, 19448.6923
0.68000, 18104.4467
0.68500, 16828.5779
0.69000, 15621.2023
0.69500, 14481.9895
0.70000, 13410.2004
0.70500, 12404.7272
0.71000, 11464.1341
0.71500, 10586.6969
0.72000, 9770.4440
0.72500, 9013.1944
0.73000, 8312.5962
0.73500, 7666.1621
0.74000, 7071.3037
0.74500, 6525.3628
0.75000, 6025.6413
0.75500, 5569.4278
0.76000, 5154.0215
0.76500, 4776.7541
0.77000, 4435.0084
0.77500, 4126.2349
0.78000, 3847.9652
0.78500, 3597.8237
0.79000, 3373.5363
0.79500, 3172.9379
0.80000, 2993.9770
0.80500, 2834.7189
0.81000, 2693.3476
0.81500, 2568.1659
0.82000, 2457.5941
0.82500, 2360.1679
0.83000, 2274.5356
0.83500, 2199.4540
0.84000, 2133.7843
0.84500, 2076.4865
0.85000, 2026.6150
0.85500, 1983.3125
0.86000, 1945.8048
0.86500, 1913.3949
0.87000, 1885.4574
0.87500, 1861.4330
0.88000, 1840.8232
0.88500, 1823.1849
0.89000, 1808.1259
0.89500, 1795.2996
0.90000, 1784.4011
0.90500, 1775.1625
0.91000, 1767.3497
0.91500, 1760.7583
0.92000, 1755.2104
0.92500, 1750.5520
0.93000, 1746.6495
0.93500, 1743.3882
0.94000, 1740.6690
0.94500, 1738.4071
0.95000, 1736.5301
0.95500, 1734.9761
0.96000, 1733.6925
0.96500, 1732.6348
0.97000, 1731.7653
0.97500, 1731.0521
0.98000, 1730.4685
0.98500, 1729.9920
0.99000, 1729.6040
0.99500, 1729.2887
1.00000, 1729.0330
1.00500, 1728.8263
1.01000, 1728.6594
1.01500, 1728.5251
1.02000, 1728.4172
1.02500, 1728.3307
1.03000, 1728.2616
1.03500, 1728.2065
1.04000, 1728.1626
1.04500, 1728.1278
1.05000, 1728.1002
1.05500, 1728.0784
1.06000, 1728.0612
1.06500, 1728.0476
1.07000, 1728.0370
1.07500, 1728.0287
1.08000, 1728.0222
1.08500, 1728.0171
1.09000, 1728.0132
1.09500, 1728.0101
1.10000, 1728.0078
1.10500, 1728.0060
1.11000, 1728.0045
1.11500, 1728.0035
1.12000, 1728.0026
1.12500, 1728.0020
1.13000, 1728.0015
1.13500, 1728.0011
1.14000, 1728.0009
1.14500, 1728.0006
1.15000, 1728.0005
1.15500, 1728.0004
1.16000, 1728.0003
1.16500, 1728.0002
1.17000, 1728.0001
1.17500, 1728.0001
1.18000, 1728.0001
1.18500, 1728.0001
1.19000, 1728.0000
1.19500, 1728.0000
1.20000, 1728.0000
1.20500, 1728.0000
1.21000, 1728.0000
1.21500, 1728.0000
1.22000, 1728.0000
1.22500, 1728.0000
1.23000, 1728.0000
1.23500, 1728.0000
1.24000, 1728.0000
1.24500, 1728.0000
1.25000, 1728.0000
1.25500, 1728.0000
1.26000, 1728.0000
1.26500, 1728.0000
1.27000, 1728.0000
1.27500, 1728.0000
1.28000, 1728.0000
1.28500, 1728.0000
1.29000, 1728.0000
1.29500, 1728.0000
1.30000, 1728.0000
1.30500, 1728.0000
1.31000, 1728.0000
1.31500, 1728.0000
1.32000, 1728.0000
1.32500, 1728.0000
1.33000, 1728.0000
1.33500, 1728.0000
1.34000, 1728.0000
1.34500, 1728.0000
1.35000, 1728.0000
1.35500, 1728.0000
1.36000, 1728.0000
1.36500, 1728.0000
1.37000, 1728.0000
1.37500, 1728.0000
1.38000, 1728.0000
1.38500, 1728.0000
1.39000, 1728.0000
1.39500, 1728.0000
1.40000, 1728.0000
1.40500, 1728.0000
1.41000, 1728.0000
1.41500, 1728.0000
1.42000, 1728.0000
1.42500, 1728.0000
1.43000, 1728.0000
1.43500, 1728.0000
1.44000, 1728.0000
1.44500, 1728.0000
1.45000, 1728.0000
1.45500, 1728.0000
1.46000, 1728.0000
1.46500, 1728.0000
1.47000, 1728.0000
1.47500, 1728.0000
1.48000, 1728.0000
1.48500, 1728.0000
1.49000, 1728.0000
1.49500, 1728.0000
