// time (day), value
0.00000, 0.0000
0.00500, 0.0000
0.01000, 0.0000
0.01500, 0.0000
0.02000, 0.0000
0.02500, 0.0000
0.03000, 0.0000
0.03500, 0.0000
0.04000, 0.0000
0.04500, 0.0000
0.05000, 0.0000
0.05500, 0.0000
0.06000, 0.0000
0.06500, 0.0000
0.07000, 0.0000
0.07500, 0.0000
0.08000, 0.0000
0.08500, 0.0000
0.09000, 0.0000
0.09500, 0.0000
0.10000, 0.0000
0.10500, 0.0000
0.11000, 0.0000
0.11500, 0.0000
0.12000, 0.0000
0.12500, 0.0000
0.13000, 0.0000
0.13500, 0.0000
0.14000, 0.0000
0.14500, 0.0000
0.15000, 0.0000
0.15500, 0.0000
0.16000, 0.0000
0.16500, 0.0000
0.17000, 0.0000
0.17500, 0.0000
0.18000, 0.0000
0.18500, 0.0000
0.19000, 0.0000
0.19500, 0.0000
0.20000, 103680.0000
0.20500, 103680.0000
0.21000, 103680.0000
0.21500, 103680.0000
0.22000, 103680.0000
0.22500, 103680.0000
0.23000, 103680.0000
0.23500, 103680.0000
0.24000, 103680.0000
0.24500, 103680.0000
0.25000, 103680.0000
0.25500, 103680.0000
0.26000, 103680.0000
0.26500, 103680.0000
0.27000, 103680.0000
0.27500, 103680.0000
0.28000, 103680.0000
0.28500, 103680.0000
0.29000, 103680.0000
0.29500, 103680.0000
0.30000, 103680.0000
0.30500, 103680.0000
0.31000, 103680.0000
0.31500, 103680.0000
0.32000, 103680.0000
0.32500, 103680.0000
0.33000, 103680.0000
0.33500, 103680.0000
0.34000, 103680.0000
0.34500, 103680.0000
0.35000, 103680.0000
0.35500, 103680.0000
0.36000, 103680.0000
0.36500, 103680.0000
0.37000, 103680.0000
0.37500, 103680.0000
0.38000, 103680.0000
0.38500, 103680.0000
0.39000, 103680.0000
0.39500, 103680.0000
0.40000, 103680.0000
0.40500, 103680.0000
0.41000, 103680.0000
0.41500, 103680.0000
0.42000, 103680.0000
0.42500, 103680.0000
0.43000, 103680.0000
0.43500, 103680.0000
0.44000, 103680.0000
0.44500, 103680.0000
0.45000, 103680.0000
0.45500, 103680.0000
0.46000, 103680.0000
0.46500, 103680.0000
0.47000, 103680.0000
0.47500, 103680.0000
0.48000, 103680.0000
0.48500, 103680.0000
0.49000, 103680.0000
0.49500, 103680.0000
0.50000, 0.0000
0.50500, 0.0000
0.51000, 0.0000
0.51500, 0.0000
0.52000, 0.0000
0.52500, 0.0000
0.53000, 0.0000
0.53500, 0.0000
0.54000, 0.0000
0.54500, 0.0000
0.55000, 0.0000
0.55500, 0.0000
0.56000, 0.0000
0.56500, 0.0000
0.57000, 0.0000
0.57500, 0.0000
0.58000, 0.0000
0.58500, 0.0000
0.59000, 0.0000
0.59500, 0.0000
0.60000, 0.0000
0.60500, 0.0000
0.61000, 0.0000
0.61500, 0.0000
0.62000, 0.0000
0.62500, 0.0000
0.63000, 0.0000
0.63500, 0.0000
0.64000, 0.0000
0.64500, 0.0000
0.65000, 0.0000
0.65500, 0.0000
0.66000, 0.0000
0.66500, 0.0000
0.67000, 0.0000
0.67500, 0.0000
0.68000, 0.0000
