// time (day), value
0.00000, 865.0663
0.00500, 865.4357
0.01000, 865.9235
0.01500, 866.5642
0.02000, 867.4013
0.02500, 868.4891
0.03000, 869.8953
0.03500, 871.7034
0.04000, 874.0157
0.04500, 876.9573
0.05000, 880.6791
0.05500, 885.3629
0.06000, 891.2256
0.06500, 898.5241
0.07000, 907.5608
0.07500, 918.6887
0.08000, 932.3169
0.08500, 948.9156
0.09000, 969.0207
0.09500, 993.2383
0.10000, 1022.2471
0.10500, 1056.8009
0.11000, 1097.7280
0.11500, 1145.9297
0.12000, 1202.3761
0.12500, 1268.0982
0.13000, 1344.1785
0.13500, 1431.7368
0.14000, 1531.9130
0.14500, 1645.8461
0.15000, 1774.6493
0.15500, 1919.3818
0.16000, 2081.0168
0.16500, 2260.4071
0.17000, 2458.2487
0.17500, 2675.0424
0.18000, 2911.0558
0.18500, 3166.2861
0.19000, 3440.4245
0.19500, 3732.8251
0.20000, 4042.4784
0.20500, 4367.9909
0.21000, 4707.5737
0.21500, 5059.0388
0.22000, 5419.8065
0.22500, 5786.9236
0.23000, 6157.0920
0.23500, 6526.7100
0.24000, 6891.9235
0.24500, 7248.6877
0.25000, 7592.8388
0.25500, 7920.1712
0.26000, 8226.5223
0.26500, 8507.8590
0.27000, 8760.3654
0.27500, 8980.5289
0.28000, 9165.2208
0.28500, 9311.7707
0.29000, 9418.0306
0.29500, 9482.4270
0.30000, 9504.0000
0.30500, 9482.4270
0.31000, 9418.0306
0.31500, 9311.7707
0.32000, 9165.2208
0.32500, 8980.5289
0.33000, 8760.3654
0.33500, 8507.8590
0.34000, 8226.5223
0.34500, 7920.1712
0.35000, 7592.8388
0.35500, 7248.6877
0.36000, 6891.9235
0.36500, 6526.7100
0.37000, 6157.0920
0.37500, 5786.9236
0.38000, 5419.8065
0.38500, 5059.0388
0.39000, 4707.5737
0.39500, 4367.9909
0.40000, 4042.4784
0.40500, 3732.8251
0.41000, 3440.4245
0.41500, 3166.2861
0.42000, 2911.0558
0.42500, 2675.0424
0.43000, 2458.2487
0.43500, 2260.4071
0.44000, 2081.0168
0.44500, 1919.3818
0.45000, 1774.6493
0.45500, 1645.8461
0.46000, 1531.9130
0.46500, 1431.7368
0.47000, 1344.1785
0.47500, 1268.0982
0.48000, 1202.3761
0.48500, 1145.9297
0.49000, 1097.7280
0.49500, 1056.8009
0.50000, 1022.2471
0.50500, 993.2383
0.51000, 969.0207
0.51500, 948.9156
0.52000, 932.3169
0.52500, 918.6887
0.53000, 907.5608
0.53500, 898.5241
0.54000, 891.2256
0.54500, 885.3629
0.55000, 880.6791
0.55500, 876.9573
0.56000, 874.0157
0.56500, 871.7034
0.57000, 869.8953
0.57500, 868.4891
0.58000, 867.4013
0.58500, 866.5642
0.59000, 865.9235
0.59500, 865.4357
0.60000, 865.0663
0.60500, 864.7879
0.61000, 864.5794
0.61500, 864.4239
0.62000, 864.3086
0.62500, 864.2235
0.63000, 864.1611
0.63500, 864.1155
0.64000, 864.0824
0.64500, 864.0585
0.65000, 864.0413
0.65500, 864.0291
0.66000, 864.0203
0.66500, 864.0141
0.67000, 864.0098
0.67500, 864.0067
0.68000, 864.0046
0.68500, 864.0032
0.69000, 864.0021
0.69500, 864.0014
0.70000, 864.0010
0.70500, 864.0007
0.71000, 864.0004
0.71500, 864.0003
0.72000, 864.0002
0.72500, 864.0001
0.73000, 864.0001
0.73500, 864.0001
0.74000, 864.0000
