// time (day), value
0.00000, 0.3500
0.00500, 0.3500
0.01000, 0.3500
0.01500, 0.3500
0.02000, 0.3500
0.02500, 0.3500
0.03000, 0.3500
0.03500, 0.3500
0.04000, 0.3500
0.04500, 0.3500
0.05000, 0.3500
0.05500, 0.3500
0.06000, 0.3500
0.06500, 0.3500
0.07000, 0.3500
0.07500, 0.3500
0.08000, 0.3500
0.08500, 0.3500
0.09000, 0.3500
0.09500, 0.3500
0.10000, 0.3500
0.10500, 0.3500
0.11000, 0.3500
0.11500, 0.3500
0.12000, 0.3500
0.12500, 0.3500
0.13000, 0.3500
0.13500, 0.3500
0.14000, 0.3500
0.14500, 0.3500
0.15000, 0.3500
0.15500, 0.3500
0.16000, 0.3500
0.16500, 0.3500
0.17000, 0.3500
0.17500, 0.3500
0.18000, 0.3500
0.18500, 0.3500
0.19000, 0.3500
0.19500, 0.3500
0.20000, 0.3500
0.20500, 0.3500
0.21000, 0.3500
0.21500, 0.3500
0.22000, 0.3500
0.22500, 0.3500
0.23000, 0.3500
0.23500, 0.3500
0.24000, 0.3500
0.24500, 0.3500
0.25000, 0.3500
0.25500, 0.3500
0.26000, 0.3500
0.26500, 0.3500
0.27000, 0.3500
0.27500, 0.3500
0.28000, 0.3500
0.28500, 0.3500
0.29000, 0.3500
0.29500, 0.3500
0.30000, 0.3500
0.30500, 0.3500
0.31000, 0.3500
0.31500, 0.3500
0.32000, 0.3500
0.32500, 0.3500
0.33000, 0.3500
0.33500, 0.3500
0.34000, 0.3500
0.34500, 0.3500
0.35000, 0.3500
0.35500, 0.3500
0.36000, 0.3500
0.36500, 0.3500
0.37000, 0.3500
0.37500, 0.3500
0.38000, 0.3500
0.38500, 0.3500
0.39000, 0.3500
0.39500, 0.3500
0.40000, 0.3500
0.40500, 0.3500
0.41000, 0.3500
0.41500, 0.3501
0.42000, 0.3501
0.42500, 0.3501
0.43000, 0.3501
0.43500, 0.3501
0.44000, 0.3501
0.44500, 0.3502
0.45000, 0.3502
0.45500, 0.3502
0.46000, 0.3503
0.46500, 0.3503
0.47000, 0.3504
0.47500, 0.3504
0.48000, 0.3505
0.48500, 0.3506
0.49000, 0.3507
0.49500, 0.3508
0.50000, 0.3510
0.50500, 0.3511
0.51000, 0.3513
0.51500, 0.3515
0.52000, 0.3518
0.52500, 0.3521
0.53000, 0.3524
0.53500, 0.3528
0.54000, 0.3532
0.54500, 0.3537
0.55000, 0.3542
0.55500, 0.3549
0.56000, 0.3556
0.56500, 0.3564
0.57000, 0.3573
0.57500, 0.3583
0.58000, 0.3595
0.58500, 0.3608
0.59000, 0.3623
0.59500, 0.3639
0.60000, 0.3658
0.60500, 0.3678
0.61000, 0.3701
0.61500, 0.3727
0.62000, 0.3755
0.62500, 0.3787
0.63000, 0.3822
0.63500, 0.3860
0.64000, 0.3903
0.64500, 0.3950
0.65000, 0.4002
0.65500, 0.4058
0.66000, 0.4121
0.66500, 0.4189
0.67000, 0.4263
0.67500, 0.4345
0.68000, 0.4433
0.68500, 0.4529
0.69000, 0.4633
0.69500, 0.4746
0.70000, 0.4868
0.70500, 0.4999
0.71000, 0.5141
0.71500, 0.5293
0.72000, 0.5457
0.72500, 0.5632
0.73000, 0.5819
