// time (day), value
0.00000, 0.4038
0.00500, 0.4072
0.01000, 0.4107
0.01500, 0.4144
0.02000, 0.4184
0.02500, 0.4225
0.03000, 0.4268
0.03500, 0.4314
0.04000, 0.4361
0.04500, 0.4411
0.05000, 0.4464
0.05500, 0.4519
0.06000, 0.4576
0.06500, 0.4636
0.07000, 0.4698
0.07500, 0.4764
0.08000, 0.4832
0.08500, 0.4903
0.09000, 0.4977
0.09500, 0.5054
0.10000, 0.5134
0.10500, 0.5217
0.11000, 0.5303
0.11500, 0.5393
0.12000, 0.5487
0.12500, 0.5583
0.13000, 0.5683
0.13500, 0.5787
0.14000, 0.5894
0.14500, 0.6005
0.15000, 0.6120
0.15500, 0.6238
0.16000, 0.6360
0.16500, 0.6486
0.17000, 0.6616
0.17500, 0.6749
0.18000, 0.6886
0.18500, 0.7027
0.19000, 0.7172
0.19500, 0.7321
0.20000, 0.7474
0.20500, 0.7630
0.21000, 0.7790
0.21500, 0.7954
0.22000, 0.8122
0.22500, 0.8293
0.23000, 0.8468
0.23500, 0.8647
0.24000, 0.8828
0.24500, 0.9014
0.25000, 0.9202
0.25500, 0.9394
0.26000, 0.9588
0.26500, 0.9786
0.27000, 0.9987
0.27500, 1.0190
0.28000, 1.0395
0.28500, 1.0603
0.29000, 1.0814
0.29500, 1.1026
0.30000, 1.1240
0.30500, 1.1456
0.31000, 1.1673
0.31500, 1.1892
0.32000, 1.2111
0.32500, 1.2332
0.33000, 1.2553
0.33500, 1.2774
0.34000, 1.2996
0.34500, 1.3217
0.35000, 1.3438
0.35500, 1.3659
0.36000, 1.3878
0.36500, 1.4097
0.37000, 1.4314
0.37500, 1.4529
0.38000, 1.4743
0.38500, 1.4954
0.39000, 1.5163
0.39500, 1.5369
0.40000, 1.5571
0.40500, 1.5771
0.41000, 1.5967
0.41500, 1.6159
0.42000, 1.6346
0.42500, 1.6530
0.43000, 1.6708
0.43500, 1.6882
0.44000, 1.7050
0.44500, 1.7213
0.45000, 1.7370
0.45500, 1.7521
0.46000, 1.7666
0.46500, 1.7804
0.47000, 1.7936
0.47500, 1.8061
0.48000, 1.8179
0.48500, 1.8289
0.49000, 1.8392
0.49500, 1.8488
0.50000, 1.8575
0.50500, 1.8655
0.51000, 1.8727
0.51500, 1.8790
0.52000, 1.8846
0.52500, 1.8893
0.53000, 1.8931
0.53500, 1.8961
0.54000, 1.8983
0.54500, 1.8996
0.55000, 1.9000
0.55500, 1.8996
0.56000, 1.8983
0.56500, 1.8961
0.57000, 1.8931
0.57500, 1.8893
0.58000, 1.8846
0.58500, 1.8790
0.59000, 1.8727
0.59500, 1.8655
0.60000, 1.8575
0.60500, 1.8488
0.61000, 1.8392
0.61500, 1.8289
0.62000, 1.8179
0.62500, 1.8061
0.63000, 1.7936
0.63500, 1.7804
0.64000, 1.7666
0.64500, 1.7521
0.65000, 1.7370
0.65500, 1.7213
0.66000, 1.7050
0.66500, 1.6882
0.67000, 1.6708
0.67500, 1.6530
0.68000, 1.6346
0.68500, 1.6159
0.69000, 1.5967
0.69500, 1.5771
0.70000, 1.5571
0.70500, 1.5369
0.71000, 1.5163
0.71500, 1.4954
0.72000, 1.4743
0.72500, 1.4529
0.73000, 1.4314
0.73500, 1.4097
0.74000, 1.3878
0.74500, 1.3659
0.75000, 1.3438
0.75500, 1.3217
0.76000, 1.2996
0.76500, 1.2774
0.77000, 1.2553
0.77500, 1.2332
0.78000, 1.2111
0.78500, 1.1892
0.79000, 1.1673
0.79500, 1.1456
0.80000, 1.1240
0.80500, 1.1026
0.81000, 1.0814
0.81500, 1.0603
0.82000, 1.0395
0.82500, 1.0190
0.83000, 0.9987
0.83500, 0.9786
0.84000, 0.9588
0.84500, 0.9394
0.85000, 0.9202
0.85500, 0.9014
0.86000, 0.8828
0.86500, 0.8647
0.87000, 0.8468
0.87500, 0.8293
0.88000, 0.8122
0.88500, 0.7954
0.89000, 0.7790
0.89500, 0.7630
0.90000, 0.7474
0.90500, 0.7321
0.91000, 0.7172
0.91500, 0.7027
0.92000, 0.6886
0.92500, 0.6749
0.93000, 0.6616
0.93500, 0.6486
0.94000, 0.6360
0.94500, 0.6238
0.95000, 0.6120
0.95500, 0.6005
0.96000, 0.5894
0.96500, 0.5787
0.97000, 0.5683
0.97500, 0.5583
0.98000, 0.5487
0.98500, 0.5393
0.99000, 0.5303
0.99500, 0.5217
1.00000, 0.5134
1.00500, 0.5054
1.01000, 0.4977
1.01500, 0.4903
1.02000, 0.4832
1.02500, 0.4764
1.03000, 0.4698
1.03500, 0.4636
1.04000, 0.4576
1.04500, 0.4519
1.05000, 0.4464
1.05500, 0.4411
1.06000, 0.4361
1.06500, 0.4314
1.07000, 0.4268
1.07500, 0.4225
1.08000, 0.4184
1.08500, 0.4144
1.09000, 0.4107
1.09500, 0.4072
1.10000, 0.4038
1.10500, 0.4006
1.11000, 0.3975
1.11500, 0.3947
1.12000, 0.3919
1.12500, 0.3893
1.13000, 0.3869
1.13500, 0.3846
1.14000, 0.3824
1.14500, 0.3803
1.15000, 0.3784
1.15500, 0.3766
1.16000, 0.3748
1.16500, 0.3732
1.17000, 0.3716
1.17500, 0.3702
1.18000, 0.3688
1.18500, 0.3676
1.19000, 0.3664
1.19500, 0.3652
1.20000, 0.3642
1.20500, 0.3632
1.21000, 0.3623
1.21500, 0.3614
1.22000, 0.3606
1.22500, 0.3598
1.23000, 0.3591
1.23500, 0.3584
1.24000, 0.3578
1.24500, 0.3572
1.25000, 0.3567
1.25500, 0.3562
1.26000, 0.3557
1.26500, 0.3553
1.27000, 0.3549
1.27500, 0.3545
1.28000, 0.3542
1.28500, 0.3538
1.29000, 0.3535
1.29500, 0.3533
1.30000, 0.3530
1.30500, 0.3528
1.31000, 0.3525
1.31500, 0.3523
1.32000, 0.3521
1.32500, 0.3520
1.33000, 0.3518
1.33500, 0.3516
1.34000, 0.3515
1.34500, 0.3514
1.35000, 0.3513
1.35500, 0.3512
1.36000, 0.3511
1.36500, 0.3510
1.37000, 0.3509
1.37500, 0.3508
1.38000, 0.3507
1.38500, 0.3507
1.39000, 0.3506
1.39500, 0.3506
1.40000, 0.3505
1.40500, 0.3505
1.41000, 0.3504
1.41500, 0.3504
1.42000, 0.3503
1.42500, 0.3503
1.43000, 0.3503
1.43500, 0.3503
1.44000, 0.3502
1.44500, 0.3502
1.45000, 0.3502
1.45500, 0.3502
1.46000, 0.3502
1.46500, 0.3501
1.47000, 0.3501
1.47500, 0.3501
1.48000, 0.3501
1.48500, 0.3501
1.49000, 0.3501
1.49500, 0.3501
1.50000, 0.3501
1.50500, 0.3501
1.51000, 0.3501
1.51500, 0.3500
1.52000, 0.3500
1.52500, 0.3500
1.53000, 0.3500
1.53500, 0.3500
1.54000, 0.3500
1.54500, 0.3500
1.55000, 0.3500
1.55500, 0.3500
1.56000, 0.3500
1.56500, 0.3500
1.57000, 0.3500
1.57500, 0.3500
1.58000, 0.3500
1.58500, 0.3500
1.59000, 0.3500
1.59500, 0.3500
1.60000, 0.3500
1.60500, 0.3500
1.61000, 0.3500
1.61500, 0.3500
1.62000, 0.3500
1.62500, 0.3500
1.63000, 0.3500
1.63500, 0.3500
1.64000, 0.3500
1.64500, 0.3500
1.65000, 0.3500
1.65500, 0.3500
1.66000, 0.3500
1.66500, 0.3500
1.67000, 0.3500
1.67500, 0.3500
1.68000, 0.3500
1.68500, 0.3500
1.69000, 0.3500
1.69500, 0.3500
1.70000, 0.3500
1.70500, 0.3500
1.71000, 0.3500
1.71500, 0.3500
1.72000, 0.3500
1.72500, 0.3500
1.73000, 0.3500
1.73500, 0.3500
1.74000, 0.3500
1.74500, 0.3500
1.75000, 0.3500
1.75500, 0.3500
1.76000, 0.3500
1.76500, 0.3500
1.77000, 0.3500
1.77500, 0.3500
1.78000, 0.3500
1.78500, 0.3500
1.79000, 0.3500
1.79500, 0.3500
1.80000, 0.3500
1.80500, 0.3500
1.81000, 0.3500
1.81500, 0.3500
1.82000, 0.3500
1.82500, 0.3500
1.83000, 0.3500
1.83500, 0.3500
1.84000, 0.3500
1.84500, 0.3500
1.85000, 0.3500
1.85500, 0.3500
1.86000, 0.3500
1.86500, 0.3500
1.87000, 0.3500
1.87500, 0.3500
1.88000, 0.3500
1.88500, 0.3500
1.89000, 0.3500
1.89500, 0.3500
1.90000, 0.3500
1.90500, 0.3500
1.91000, 0.3500
1.91500, 0.3500
1.92000, 0.3500
1.92500, 0.3500
1.93000, 0.3500
1.93500, 0.3500
1.94000, 0.3500
1.94500, 0.3500
1.95000, 0.3500
1.95500, 0.3500
1.96000, 0.3500
1.96500, 0.3500
1.97000, 0.3500
1.97500, 0.3500
1.98000, 0.3500
1.98500, 0.3500
1.99000, 0.3500
1.99500, 0.3500
2.00000, 0.3500
