Generation: 0
ID, rc_coeff, likelihood, Fitness, Rank
0, 8.138371e+00, 1.327350e+03, 3.703704e-02, 27
1, 4.663228e-01, 1.078171e+02, 3.333333e-01, 3
2, 8.142033e+00, 1.327715e+03, 3.571429e-02, 28
3, 2.399976e+00, 5.634677e+02, 9.090909e-02, 11
4, 8.978851e+00, 1.404836e+03, 2.777778e-02, 36
5, 2.565081e+00, 5.947196e+02, 8.333333e-02, 12
6, 2.693564e+00, 6.184371e+02, 7.692308e-02, 13
7, 2.080142e+00, 5.005275e+02, 1.111111e-01, 9
8, 2.293771e+00, 5.428854e+02, 1.000000e-01, 10
9, 8.461562e+00, 1.358475e+03, 3.225806e-02, 31
10, 8.748436e+00, 1.383420e+03, 3.030303e-02, 33
11, 8.876919e+00, 1.395424e+03, 2.941176e-02, 34
12, 8.447829e+00, 1.357138e+03, 3.333333e-02, 30
13, 6.092715e+00, 1.111127e+03, 5.000000e-02, 20
14, 4.089480e-01, 9.134685e+01, 5.000000e-01, 2
15, 1.735282e+00, 4.278611e+02, 1.666667e-01, 6
16, 1.837519e+00, 4.500089e+02, 1.428571e-01, 7
17, 3.559069e+00, 7.639345e+02, 6.666667e-02, 15
18, 4.492630e+00, 9.042474e+02, 5.882353e-02, 17
19, 1.850642e+00, 4.528187e+02, 1.250000e-01, 8
20, 8.944670e+00, 1.401720e+03, 2.857143e-02, 35
21, 6.230354e+00, 1.126303e+03, 4.761905e-02, 21
22, 5.463424e+00, 1.032975e+03, 5.263158e-02, 19
23, 9.116794e+00, 1.418051e+03, 2.702703e-02, 37
24, 5.225990e+00, 1.002552e+03, 5.555556e-02, 18
25, 7.306436e+00, 1.246330e+03, 4.166667e-02, 24
26, 9.993286e+00, 1.496141e+03, 2.500000e-02, 40
27, 9.693289e+00, 1.469997e+03, 2.631579e-02, 38
28, 8.674276e+00, 1.376425e+03, 3.125000e-02, 32
29, 8.402051e+00, 1.352671e+03, 3.448276e-02, 29
30, 1.466720e+00, 3.674315e+02, 2.500000e-01, 4
31, 3.744011e+00, 7.932043e+02, 6.250000e-02, 16
32, 2.843715e+00, 6.455190e+02, 7.142857e-02, 14
33, 1.709647e+00, 4.222366e+02, 2.000000e-01, 5
34, 9.737541e+00, 1.473883e+03, 2.564103e-02, 39
35, 7.418134e+00, 1.257868e+03, 4.000000e-02, 25
36, 7.166051e+00, 1.231346e+03, 4.347826e-02, 23
37, 3.088473e-01, 6.261865e+01, 1.000000e+00, 1
38, 6.450392e+00, 1.151759e+03, 4.545455e-02, 22
39, 8.127079e+00, 1.326221e+03, 3.846154e-02, 26
Generation: 1
ID, rc_coeff, likelihood, Fitness, Rank
0, 3.088473e-01, 6.261865e+01, 1.428571e-01, 7
1, 3.178935e-01, 6.520420e+01, 1.250000e-01, 8
2, 1.980516e+00, 4.799774e+02, 4.000000e-02, 25
3, 1.988538e-01, 3.193064e+01, 1.000000e+00, 1
4, 8.115625e+00, 1.325075e+03, 2.857143e-02, 35
5, 9.310148e+00, 1.435694e+03, 2.631579e-02, 38
6, 1.136113e+00, 2.879942e+02, 5.263158e-02, 19
7, 6.636880e-01, 1.635549e+02, 7.692308e-02, 13
8, 7.017265e+00, 1.214820e+03, 2.941176e-02, 34
9, 3.529338e-01, 7.524018e+01, 1.111111e-01, 9
10, 9.961959e+00, 1.493436e+03, 2.500000e-02, 40
11, 2.722736e+00, 6.237529e+02, 3.571429e-02, 28
12, 1.120763e+00, 2.841594e+02, 6.250000e-02, 16
13, 9.050562e+00, 1.411940e+03, 2.777778e-02, 36
14, 2.150907e+00, 5.145790e+02, 3.846154e-02, 26
15, 1.972327e+00, 4.782702e+02, 4.166667e-02, 24
16, 2.590815e+00, 5.995124e+02, 3.703704e-02, 27
17, 1.681639e+00, 4.160559e+02, 4.761905e-02, 21
18, 9.106707e+00, 1.417326e+03, 2.702703e-02, 37
19, 2.010852e-01, 3.252975e+01, 5.000000e-01, 2
20, 3.044047e-01, 6.135137e+01, 2.000000e-01, 5
21, 1.757792e+00, 4.327749e+02, 4.545455e-02, 22
22, 3.559586e-01, 7.610897e+01, 1.000000e-01, 10
23, 2.792405e+00, 6.363418e+02, 3.448276e-02, 29
24, 9.533310e+00, 1.455843e+03, 2.564103e-02, 39
25, 4.711317e-01, 1.092006e+02, 9.090909e-02, 11
26, 1.108319e+00, 2.810415e+02, 6.666667e-02, 15
27, 4.771129e+00, 9.430424e+02, 3.333333e-02, 30
28, 5.366435e+00, 1.020640e+03, 3.125000e-02, 32
29, 6.408083e-01, 1.571925e+02, 8.333333e-02, 12
30, 6.956689e+00, 1.208202e+03, 3.030303e-02, 33
31, 1.103165e+00, 2.797481e+02, 7.142857e-02, 14
32, 1.132440e+00, 2.870786e+02, 5.555556e-02, 18
33, 1.499089e+00, 3.748860e+02, 5.000000e-02, 20
34, 1.126474e+00, 2.855875e+02, 5.882353e-02, 17
35, 1.935851e+00, 4.706334e+02, 4.347826e-02, 23
36, 2.940197e-01, 5.839396e+01, 2.500000e-01, 4
37, 3.060373e-01, 6.181682e+01, 1.666667e-01, 6
38, 4.999389e+00, 9.727832e+02, 3.225806e-02, 31
39, 2.373585e-01, 4.245278e+01, 3.333333e-01, 3
Generation: 2
ID, rc_coeff, likelihood, Fitness, Rank
0, 1.988538e-01, 3.193064e+01, 2.000000e-01, 5
1, 2.019874e-01, 3.277240e+01, 1.666667e-01, 6
2, 7.242249e+00, 1.239488e+03, 2.702703e-02, 37
