Generation: 0
ID, Q_max_param, Q_min_param, S_max_param, S_min_param, likelihood, Fitness, Rank
0, 7.041126e+01, 8.943829e+00, 6.698595e+01, 1.298440e+01, -9.018275e+01, 2.777778e-02, 36
1, 7.469884e+01, 6.975514e+00, 4.011337e+01, 1.268230e+01, -7.015204e+01, 1.886792e-02, 53
2, 3.666648e+01, 1.053970e+01, 4.864382e+01, 1.128871e+01, -1.061170e+02, 3.571429e-02, 28
3, 4.188707e+01, 1.013401e+01, 7.713378e+01, 1.416195e+01, -1.022726e+02, 3.125000e-02, 32
4, 5.814270e+01, 1.217297e+01, 2.849615e+01, 1.106969e+01, -1.226681e+02, 5.000000e-02, 20
5, 2.097803e+01, 7.428868e+00, 2.823389e+01, 1.304177e+01, -7.477660e+01, 2.272727e-02, 44
6, 2.940075e+01, 9.009444e+00, 2.778743e+01, 6.088088e+00, -9.084436e+01, 2.857143e-02, 35
7, 7.993547e+01, 7.182569e+00, 5.077594e+01, 1.339112e+01, -7.246769e+01, 2.040816e-02, 49
8, 5.675839e+01, 7.960316e+00, 5.825314e+01, 1.024287e+01, -8.038456e+01, 2.439024e-02, 41
9, 4.961498e+01, 1.472775e+01, 3.755101e+01, 1.271358e+01, -1.481931e+02, 5.000000e-01, 2
10, 5.160470e+01, 1.269914e+01, 4.401372e+01, 1.391529e+01, -1.276694e+02, 6.250000e-02, 16
11, 3.699888e+01, 8.524583e+00, 6.846347e+01, 1.419026e+01, -8.567850e+01, 2.564103e-02, 39
12, 2.418532e+01, 1.449327e+01, 5.155972e+01, 5.860558e+00, -1.458337e+02, 1.666667e-01, 6
13, 3.153283e+01, 1.163227e+01, 7.341396e+01, 8.488929e+00, -1.172194e+02, 4.347826e-02, 23
14, 2.385028e+01, 5.200230e+00, 4.746210e+01, 5.630958e+00, -5.236211e+01, 1.666667e-02, 60
15, 3.429680e+01, 1.470634e+01, 7.413248e+01, 1.350920e+01, -1.479777e+02, 3.333333e-01, 3
16, 3.599994e+01, 1.039760e+01, 4.251242e+01, 1.260249e+01, -1.046863e+02, 3.225806e-02, 31
17, 5.075212e+01, 1.167724e+01, 5.189639e+01, 5.392803e+00, -1.176726e+02, 4.545455e-02, 22
18, 4.625826e+01, 1.431835e+01, 7.584859e+01, 1.220952e+01, -1.444130e+02, 1.250000e-01, 8
