n 425, BTC size 425
0.01, 6.95336e-310
0.0233333, 6.95336e-310
0.0411111, 6.95336e-310
0.0648148, 6.95336e-310
0.0885185, 6.95336e-310
0.112222, 6.95336e-310
0.135926, 6.95336e-310
0.15963, 6.95336e-310
0.183333, 6.95336e-310
0.207037, 6.95336e-310
0.230741, 6.95336e-310
0.254444, 6.95336e-310
0.278148, 6.95336e-310
0.301852, 6.95336e-310
0.325556, 6.95336e-310
0.349259, 6.95336e-310
0.372963, 6.95336e-310
0.396667, 6.95336e-310
0.42037, 6.95336e-310
0.444074, 6.95336e-310
0.467778, 6.95336e-310
0.491481, 6.95336e-310
0.515185, 6.95336e-310
0.538889, 6.95336e-310
0.562593, 6.95336e-310
0.586296, 6.95336e-310
0.61, 6.95336e-310
0.633704, 6.95336e-310
0.657407, 6.95336e-310
0.681111, 6.95336e-310
0.704815, 6.95336e-310
0.728519, 6.95336e-310
0.752222, 6.95336e-310
0.775926, 6.95336e-310
0.79963, 6.95336e-310
0.823333, 6.95336e-310
0.847037, 6.95336e-310
0.870741, 6.95336e-310
0.894444, 6.95336e-310
0.918148, 6.95336e-310
0.941852, 6.95336e-310
0.965556, 6.95336e-310
0.989259, 6.95336e-310
1.01296, 6.95336e-310
1.03667, 6.95336e-310
1.06037, 6.95336e-310
1.08407, 6.95336e-310
1.10778, 6.95336e-310
1.13148, 6.95336e-310
1.15519, 6.95336e-310
1.17889, 6.95336e-310
1.20259, 6.95336e-310
1.2263, 6.95336e-310
1.25, 6.95336e-310
1.2737, 6.95336e-310
1.29741, 6.95336e-310
1.32111, 6.95336e-310
1.34481, 6.95336e-310
1.36852, 6.95336e-310
1.39222, 6.95336e-310
1.41593, 6.95336e-310
1.43963, 6.95336e-310
1.46333, 6.95336e-310
1.48704, 6.95336e-310
1.51074, 6.95336e-310
1.53444, 6.95336e-310
1.55815, 6.95336e-310
1.58185, 6.95336e-310
1.60556, 6.95336e-310
1.62926, 6.95336e-310
1.65296, 6.95336e-310
1.67667, 6.95336e-310
1.70037, 6.95336e-310
1.72407, 6.95336e-310
1.74778, 6.95336e-310
1.77148, 6.95336e-310
1.79519, 6.95336e-310
1.81889, 6.95336e-310
1.84259, 6.95336e-310
1.8663, 6.95336e-310
1.89, 6.95336e-310
1.9137, 6.95336e-310
1.93741, 6.95336e-310
1.96111, 6.95336e-310
1.98481, 6.95336e-310
2.00852, 6.95336e-310
2.03222, 6.95336e-310
2.05593, 6.95336e-310
2.07963, 6.95336e-310
2.10333, 6.95336e-310
2.12704, 6.95336e-310
2.15074, 6.95336e-310
2.17444, 6.95336e-310
2.19815, 6.95336e-310
2.22185, 6.95336e-310
2.24556, 6.95336e-310
2.26926, 6.95336e-310
2.29296, 6.95336e-310
2.31667, 6.95336e-310
2.34037, 6.95336e-310
2.36407, 6.95336e-310
2.38778, 6.95336e-310
2.41148, 6.95336e-310
2.43519, 6.95336e-310
2.45889, 6.95336e-310
2.48259, 6.95336e-310
2.5063, 6.95336e-310
2.53, 6.95336e-310
2.5537, 6.95336e-310
2.57741, 6.95336e-310
2.60111, 6.95336e-310
2.62481, 6.95336e-310
2.64852, 6.95336e-310
2.67222, 6.95336e-310
2.69593, 6.95336e-310
2.71963, 6.95336e-310
2.74333, 6.95336e-310
2.76704, 6.95336e-310
2.79074, 6.95336e-310
2.81444, 6.95336e-310
2.83815, 6.95336e-310
2.86185, 6.95336e-310
2.88556, 6.95336e-310
2.90926, 6.95336e-310
2.93296, 6.95336e-310
2.95667, 6.95336e-310
2.98037, 6.95336e-310
3.00407, 6.95336e-310
3.02778, 6.95336e-310
3.05148, 6.95336e-310
3.07519, 6.95336e-310
3.09889, 6.95336e-310
3.12259, 6.95336e-310
3.1463, 6.95336e-310
3.17, 6.95336e-310
3.1937, 6.95336e-310
3.21741, 6.95336e-310
3.24111, 6.95336e-310
3.26481, 6.95336e-310
3.28852, 6.95336e-310
3.31222, 6.95336e-310
3.33593, 6.95336e-310
3.35963, 6.95336e-310
3.38333, 6.95336e-310
3.40704, 6.95336e-310
3.43074, 6.95336e-310
3.45444, 6.95336e-310
3.47815, 6.95336e-310
3.50185, 6.95336e-310
3.52556, 6.95336e-310
3.54926, 6.95336e-310
3.57296, 6.95336e-310
3.59667, 6.95336e-310
3.62037, 6.95336e-310
3.64407, 6.95336e-310
3.66778, 6.95336e-310
3.69148, 6.95336e-310
3.71519, 6.95336e-310
3.73889, 6.95336e-310
3.76259, 6.95336e-310
3.7863, 6.95336e-310
3.81, 6.95336e-310
3.8337, 6.95336e-310
3.85741, 6.95336e-310
3.88111, 6.95336e-310
3.90481, 6.95336e-310
3.92852, 6.95336e-310
3.95222, 6.95336e-310
3.97593, 6.95336e-310
3.99963, 6.95336e-310
4.02333, 6.95336e-310
4.04704, 6.95336e-310
4.07074, 6.95336e-310
4.09444, 6.95336e-310
4.11815, 6.95336e-310
4.14185, 6.95336e-310
4.16556, 6.95336e-310
4.18926, 6.95336e-310
4.21296, 6.95336e-310
4.23667, 6.95336e-310
4.26037, 6.95336e-310
4.28407, 6.95336e-310
4.30778, 6.95336e-310
4.33148, 6.95336e-310
4.35519, 6.95336e-310
