t, Reservoir1_Storage, t, Reservoir1_inflow, t, Reservoir2_Storage, t, Reservoir2_inflow, t, User1_Storage, t, myLink_flow, t, User_link_flow, 
0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,0.000000, 6.953356e-310,
0.010000, 1.500000e+01,0.010000, 0.000000e+00,0.010000, 1.499000e+01,0.010000, 0.000000e+00,0.010000, 1.000000e-02,0.010000, 6.953356e-310,0.010000, 1.000000e+00,
0.023333, 1.500000e+01,0.023333, 0.000000e+00,0.023333, 1.497667e+01,0.023333, 0.000000e+00,0.023333, 2.333332e-02,0.023333, 6.953356e-310,0.023333, 1.000000e+00,
0.041111, 1.500000e+01,0.041111, 0.000000e+00,0.041111, 1.495889e+01,0.041111, 0.000000e+00,0.041111, 4.111108e-02,0.041111, 6.953356e-310,0.041111, 1.000000e+00,
0.064815, 1.500000e+01,0.064815, 0.000000e+00,0.064815, 1.493519e+01,0.064815, 0.000000e+00,0.064815, 6.481477e-02,0.064815, 6.953356e-310,0.064815, 1.000000e+00,
0.088519, 1.500000e+01,0.088519, 0.000000e+00,0.088519, 1.491148e+01,0.088519, 0.000000e+00,0.088519, 8.851846e-02,0.088519, 6.953356e-310,0.088519, 1.000000e+00,
0.112222, 1.500000e+01,0.112222, 0.000000e+00,0.112222, 1.488778e+01,0.112222, 0.000000e+00,0.112222, 1.122221e-01,0.112222, 6.953356e-310,0.112222, 1.000000e+00,
0.135926, 1.500000e+01,0.135926, 0.000000e+00,0.135926, 1.486407e+01,0.135926, 0.000000e+00,0.135926, 1.359258e-01,0.135926, 6.953356e-310,0.135926, 1.000000e+00,
0.159630, 1.500000e+01,0.159630, 0.000000e+00,0.159630, 1.484037e+01,0.159630, 0.000000e+00,0.159630, 1.596295e-01,0.159630, 6.953356e-310,0.159630, 1.000000e+00,
0.183333, 1.500000e+01,0.183333, 0.000000e+00,0.183333, 1.481667e+01,0.183333, 0.000000e+00,0.183333, 1.833332e-01,0.183333, 6.953356e-310,0.183333, 1.000000e+00,
0.207037, 1.500000e+01,0.207037, 0.000000e+00,0.207037, 1.479296e+01,0.207037, 0.000000e+00,0.207037, 2.070369e-01,0.207037, 6.953356e-310,0.207037, 1.000000e+00,
0.230741, 1.500000e+01,0.230741, 0.000000e+00,0.230741, 1.476926e+01,0.230741, 0.000000e+00,0.230741, 2.307406e-01,0.230741, 6.953356e-310,0.230741, 1.000000e+00,
0.254444, 1.500000e+01,0.254444, 0.000000e+00,0.254444, 1.474556e+01,0.254444, 0.000000e+00,0.254444, 2.544443e-01,0.254444, 6.953356e-310,0.254444, 1.000000e+00,
0.278148, 1.500000e+01,0.278148, 0.000000e+00,0.278148, 1.472185e+01,0.278148, 0.000000e+00,0.278148, 2.781480e-01,0.278148, 6.953356e-310,0.278148, 1.000000e+00,
0.301852, 1.500000e+01,0.301852, 0.000000e+00,0.301852, 1.469815e+01,0.301852, 0.000000e+00,0.301852, 3.018517e-01,0.301852, 6.953356e-310,0.301852, 1.000000e+00,
0.325556, 1.500000e+01,0.325556, 0.000000e+00,0.325556, 1.467444e+01,0.325556, 0.000000e+00,0.325556, 3.255553e-01,0.325556, 6.953356e-310,0.325556, 1.000000e+00,
0.349259, 1.500000e+01,0.349259, 0.000000e+00,0.349259, 1.465074e+01,0.349259, 0.000000e+00,0.349259, 3.492590e-01,0.349259, 6.953356e-310,0.349259, 1.000000e+00,
0.372963, 1.500000e+01,0.372963, 0.000000e+00,0.372963, 1.462704e+01,0.372963, 0.000000e+00,0.372963, 3.729627e-01,0.372963, 6.953356e-310,0.372963, 1.000000e+00,
0.396667, 1.500000e+01,0.396667, 0.000000e+00,0.396667, 1.460333e+01,0.396667, 0.000000e+00,0.396667, 3.966664e-01,0.396667, 6.953356e-310,0.396667, 1.000000e+00,
0.420370, 1.500000e+01,0.420370, 0.000000e+00,0.420370, 1.457963e+01,0.420370, 0.000000e+00,0.420370, 4.203701e-01,0.420370, 6.953356e-310,0.420370, 1.000000e+00,
0.444074, 1.500000e+01,0.444074, 0.000000e+00,0.444074, 1.455593e+01,0.444074, 0.000000e+00,0.444074, 4.440738e-01,0.444074, 6.953356e-310,0.444074, 1.000000e+00,
0.467778, 1.500000e+01,0.467778, 0.000000e+00,0.467778, 1.453222e+01,0.467778, 0.000000e+00,0.467778, 4.677775e-01,0.467778, 6.953356e-310,0.467778, 1.000000e+00,
0.491481, 1.500000e+01,0.491481, 0.000000e+00,0.491481, 1.450852e+01,0.491481, 0.000000e+00,0.491481, 4.914812e-01,0.491481, 6.953356e-310,0.491481, 1.000000e+00,
0.515185, 1.500000e+01,0.515185, 0.000000e+00,0.515185, 1.448482e+01,0.515185, 0.000000e+00,0.515185, 5.151849e-01,0.515185, 6.953356e-310,0.515185, 1.000000e+00,
0.538889, 1.500000e+01,0.538889, 0.000000e+00,0.538889, 1.446111e+01,0.538889, 0.000000e+00,0.538889, 5.388885e-01,0.538889, 6.953356e-310,0.538889, 1.000000e+00,
0.562593, 1.500000e+01,0.562593, 0.000000e+00,0.562593, 1.443741e+01,0.562593, 0.000000e+00,0.562593, 5.625922e-01,0.562593, 6.953356e-310,0.562593, 1.000000e+00,
0.586296, 1.500000e+01,0.586296, 0.000000e+00,0.586296, 1.441370e+01,0.586296, 0.000000e+00,0.586296, 5.862959e-01,0.586296, 6.953356e-310,0.586296, 1.000000e+00,
0.610000, 1.500000e+01,0.610000, 0.000000e+00,0.610000, 1.439000e+01,0.610000, 0.000000e+00,0.610000, 6.099996e-01,0.610000, 6.953356e-310,0.610000, 1.000000e+00,
0.633704, 1.500000e+01,0.633704, 0.000000e+00,0.633704, 1.436630e+01,0.633704, 0.000000e+00,0.633704, 6.337033e-01,0.633704, 6.953356e-310,0.633704, 1.000000e+00,
0.657407, 1.500000e+01,0.657407, 0.000000e+00,0.657407, 1.434259e+01,0.657407, 0.000000e+00,0.657407, 6.574070e-01,0.657407, 6.953356e-310,0.657407, 1.000000e+00,
0.681111, 1.500000e+01,0.681111, 0.000000e+00,0.681111, 1.431889e+01,0.681111, 0.000000e+00,0.681111, 6.811107e-01,0.681111, 6.953356e-310,0.681111, 1.000000e+00,
0.704815, 1.500000e+01,0.704815, 0.000000e+00,0.704815, 1.429519e+01,0.704815, 0.000000e+00,0.704815, 7.048144e-01,0.704815, 6.953356e-310,0.704815, 1.000000e+00,
0.728519, 1.500000e+01,0.728519, 0.000000e+00,0.728519, 1.427148e+01,0.728519, 0.000000e+00,0.728519, 7.285180e-01,0.728519, 6.953356e-310,0.728519, 1.000000e+00,
0.752222, 1.500000e+01,0.752222, 0.000000e+00,0.752222, 1.424778e+01,0.752222, 0.000000e+00,0.752222, 7.522217e-01,0.752222, 6.953356e-310,0.752222, 1.000000e+00,
0.775926, 1.500000e+01,0.775926, 0.000000e+00,0.775926, 1.422407e+01,0.775926, 0.000000e+00,0.775926, 7.759254e-01,0.775926, 6.953356e-310,0.775926, 1.000000e+00,
0.799630, 1.500000e+01,0.799630, 0.000000e+00,0.799630, 1.420037e+01,0.799630, 0.000000e+00,0.799630, 7.996291e-01,0.799630, 6.953356e-310,0.799630, 1.000000e+00,
0.823333, 1.500000e+01,0.823333, 0.000000e+00,0.823333, 1.417667e+01,0.823333, 0.000000e+00,0.823333, 8.233328e-01,0.823333, 6.953356e-310,0.823333, 1.000000e+00,
0.847037, 1.500000e+01,0.847037, 0.000000e+00,0.847037, 1.415296e+01,0.847037, 0.000000e+00,0.847037, 8.470365e-01,0.847037, 6.953356e-310,0.847037, 1.000000e+00,
0.870741, 1.500000e+01,0.870741, 0.000000e+00,0.870741, 1.412926e+01,0.870741, 0.000000e+00,0.870741, 8.707402e-01,0.870741, 6.953356e-310,0.870741, 1.000000e+00,
0.894444, 1.500000e+01,0.894444, 0.000000e+00,0.894444, 1.410556e+01,0.894444, 0.000000e+00,0.894444, 8.944439e-01,0.894444, 6.953356e-310,0.894444, 1.000000e+00,
0.918148, 1.500000e+01,0.918148, 0.000000e+00,0.918148, 1.408185e+01,0.918148, 0.000000e+00,0.918148, 9.181476e-01,0.918148, 6.953356e-310,0.918148, 1.000000e+00,
0.941852, 1.500000e+01,0.941852, 0.000000e+00,0.941852, 1.405815e+01,0.941852, 0.000000e+00,0.941852, 9.418512e-01,0.941852, 6.953356e-310,0.941852, 1.000000e+00,
0.965556, 1.500000e+01,0.965556, 0.000000e+00,0.965556, 1.403445e+01,0.965556, 0.000000e+00,0.965556, 9.655549e-01,0.965556, 6.953356e-310,0.965556, 1.000000e+00,
0.989259, 1.500000e+01,0.989259, 0.000000e+00,0.989259, 1.401074e+01,0.989259, 0.000000e+00,0.989259, 9.892586e-01,0.989259, 6.953356e-310,0.989259, 1.000000e+00,
1.012963, 1.500000e+01,1.012963, 0.000000e+00,1.012963, 1.398704e+01,1.012963, 0.000000e+00,1.012963, 1.012962e+00,1.012963, 6.953356e-310,1.012963, 1.000000e+00,
1.036667, 1.500000e+01,1.036667, 0.000000e+00,1.036667, 1.396333e+01,1.036667, 0.000000e+00,1.036667, 1.036666e+00,1.036667, 6.953356e-310,1.036667, 1.000000e+00,
1.060370, 1.500000e+01,1.060370, 0.000000e+00,1.060370, 1.393963e+01,1.060370, 0.000000e+00,1.060370, 1.060370e+00,1.060370, 6.953356e-310,1.060370, 1.000000e+00,
1.084074, 1.500000e+01,1.084074, 0.000000e+00,1.084074, 1.391593e+01,1.084074, 0.000000e+00,1.084074, 1.084073e+00,1.084074, 6.953356e-310,1.084074, 1.000000e+00,
1.107778, 1.500000e+01,1.107778, 0.000000e+00,1.107778, 1.389222e+01,1.107778, 0.000000e+00,1.107778, 1.107777e+00,1.107778, 6.953356e-310,1.107778, 1.000000e+00,
1.131481, 1.500000e+01,1.131481, 0.000000e+00,1.131481, 1.386852e+01,1.131481, 0.000000e+00,1.131481, 1.131481e+00,1.131481, 6.953356e-310,1.131481, 1.000000e+00,
1.155185, 1.500000e+01,1.155185, 0.000000e+00,1.155185, 1.384482e+01,1.155185, 0.000000e+00,1.155185, 1.155184e+00,1.155185, 6.953356e-310,1.155185, 1.000000e+00,
1.178889, 1.500000e+01,1.178889, 0.000000e+00,1.178889, 1.382111e+01,1.178889, 0.000000e+00,1.178889, 1.178888e+00,1.178889, 6.953356e-310,1.178889, 1.000000e+00,
1.202593, 1.500000e+01,1.202593, 0.000000e+00,1.202593, 1.379741e+01,1.202593, 0.000000e+00,1.202593, 1.202592e+00,1.202593, 6.953356e-310,1.202593, 1.000000e+00,
1.226296, 1.500000e+01,1.226296, 0.000000e+00,1.226296, 1.377370e+01,1.226296, 0.000000e+00,1.226296, 1.226295e+00,1.226296, 6.953356e-310,1.226296, 1.000000e+00,
1.250000, 1.500000e+01,1.250000, 0.000000e+00,1.250000, 1.375000e+01,1.250000, 0.000000e+00,1.250000, 1.249999e+00,1.250000, 6.953356e-310,1.250000, 1.000000e+00,
1.273704, 1.500000e+01,1.273704, 0.000000e+00,1.273704, 1.372630e+01,1.273704, 0.000000e+00,1.273704, 1.273703e+00,1.273704, 6.953356e-310,1.273704, 1.000000e+00,
1.297407, 1.500000e+01,1.297407, 0.000000e+00,1.297407, 1.370259e+01,1.297407, 0.000000e+00,1.297407, 1.297407e+00,1.297407, 6.953356e-310,1.297407, 1.000000e+00,
1.321111, 1.500000e+01,1.321111, 0.000000e+00,1.321111, 1.367889e+01,1.321111, 0.000000e+00,1.321111, 1.321110e+00,1.321111, 6.953356e-310,1.321111, 1.000000e+00,
1.344815, 1.500000e+01,1.344815, 0.000000e+00,1.344815, 1.365519e+01,1.344815, 0.000000e+00,1.344815, 1.344814e+00,1.344815, 6.953356e-310,1.344815, 1.000000e+00,
