n 52, BTC size 52
0.01, 1.01426
0.0233333, 1.00344
0.0411111, 0.989216
0.0648148, 0.970609
0.0964198, 0.946422
0.13856, 0.915236
0.1807, 0.885077
0.22284, 0.855913
0.264979, 0.827709
0.307119, 0.800435
0.349259, 0.77406
0.391399, 0.748553
0.433539, 0.723887
0.475679, 0.700034
0.517819, 0.676967
0.559959, 0.65466
0.602099, 0.633088
0.644239, 0.612227
0.686379, 0.592053
0.728519, 0.572544
0.770658, 0.553678
0.812798, 0.535434
0.854938, 0.51779
0.897078, 0.500728
0.939218, 0.484229
0.981358, 0.468273
1.0235, 0.452843
1.06564, 0.437921
1.10778, 0.423491
1.14992, 0.409536
1.19206, 0.396041
1.2342, 0.382991
1.27634, 0.370371
1.31848, 0.358167
1.36062, 0.346365
1.40276, 0.334951
1.4449, 0.323914
1.48704, 0.313241
1.52918, 0.302919
1.57132, 0.292938
1.61346, 0.283285
1.6556, 0.27395
1.69774, 0.264923
1.73988, 0.256194
1.78202, 0.247752
1.82416, 0.239588
1.8663, 0.231693
1.90844, 0.224059
1.95058, 0.216675
1.99272, 0.209529
2.0489, 0.200422
2.12382, 0.18897
